Team,Date,Time,Opponent,OpponentLogo,Location,HomeAway,Result,Score
Varsity,2026-02-24,3:30 PM,Golden Valley,https://placehold.co/60x60?text=GV,Hart HS Field,Home,W,5-4
Varsity,2026-02-27,4:00 PM,Saugus,https://placehold.co/60x60?text=SA,Saugus HS,Away,L,2-5
Varsity,2026-03-03,3:30 PM,Valencia,https://placehold.co/60x60?text=VA,Hart HS Field,Home,W,7-6
Varsity,2026-03-10,3:30 PM,West Ranch,https://placehold.co/60x60?text=WR,Hart HS Field,Home,,
Varsity,2026-03-17,4:00 PM,Canyon,https://placehold.co/60x60?text=CY,Canyon HS,Away,,
JV,2026-02-24,3:30 PM,Golden Valley,https://placehold.co/60x60?text=GV,Hart HS Field,Home,W,4-3
JV,2026-02-27,4:00 PM,Saugus,https://placehold.co/60x60?text=SA,Saugus HS,Away,,
JV,2026-03-12,3:30 PM,West Ranch,https://placehold.co/60x60?text=WR,Hart HS Field,Home,,
Freshman,2026-02-25,3:15 PM,Golden Valley,https://placehold.co/60x60?text=GV,Hart HS Field,Home,L,3-6
Freshman,2026-03-11,3:15 PM,Valencia,https://placehold.co/60x60?text=VA,Valencia HS,Away,,
